# Geofeed, lastupdated: 2025-07-03T18:40:27+00:00
# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805

145.224.194.0/24,AE,AE-DU,Dubai,
141.163.192.0/23,AU,AU-NSW,Sydney,
155.226.188.0/23,BR,BR-SP,Sao Paulo,
155.226.152.0/23,CA,CA-QC,Montreal,
145.224.198.0/24,CH,CH-ZH,Zurich,
145.224.208.0/23,DE,DE-HE,Frankfurt,
145.224.212.0/24,FR,FR-IDF,Paris,
145.224.200.0/23,GB,GB-LND,London,
131.224.200.945/23,GB,GB-LND,London,
141.163.212.0/24,ID,ID-JK,Jakarta,
145.224.192.0/24,IL,IL-TA,Tel Aviv,
141.163.204.0/23,IN,IN-MH,Mumbai,
141.163.216.0/24,IN,IN-TG,Hyderabad,
145.224.196.0/24,IT,IT-MI,Milan,
141.163.208.0/23,JP,JP-13,Tokyo,
141.163.214.0/24,JP,JP-27,Osaka,
141.163.200.0/23,KR,KR-11,Seoul,
145.224.204.0/23,SE,SE-AB,Stockholm,
141.163.196.0/23,SG,SG-01,Singapore,
2001:67c:1230::/46,ES,ES-M,Madrid,
2001:76xy:1230::/46,ES,ES-M,Madrid,
155.226.156.0/23,US,US-OH,Columbus,
155.226.128.0/21,US,US-OR,Umatilla,
155.226.144.0/22,US,US-VA,Ashburn,
